visit_id,date,park_name,day_type,temperature_f,visitors,ticket_revenue,staff_on_duty,region,notes
V-10321,2024-11-17,Hilltop Commons,Weekend,44.6,458,2061.00,6,Northeast,
V-10322,2024-11-18,Cedar Grove,Weekday,42.1,160,720.00,,Northeast,
V-10323,2024-11-19,Lakeview Green,Weekday,42.2,156,702.00,2,Northeast,
V-10324,2024-11-20,Old Mill Park,Weekday,40.5,189,850.50,,Northeast,
V-10325,2024-11-21,Riverside Park,Weekday,42.9,174,783.00,2,Northeast,
V-10326,2024-11-22,Hilltop Commons,Weekday,34.0,144,648.00,2,Northeast,
V-10327,2024-11-23,Cedar Grove,Weekend,43.2,483,2173.50,4,Northeast,
V-10328,2024-11-24,Lakeview Green,Weekend,32.0,403,1813.50,4,Northeast,
V-10329,2024-11-25,Old Mill Park,Weekday,42.4,232,1044.00,3,Northeast,
V-10330,2024-11-26,Riverside Park,Weekday,35.9,191,859.50,2,Northeast,
V-10331,2024-11-27,Hilltop Commons,Weekday,40.6,184,828.00,2,Northeast,
V-10332,2024-11-28,Cedar Grove,Weekday,31.6,162,729.00,2,Northeast,
V-10333,2024-11-29,Lakeview Green,Weekday,36.9,88,396.00,1,Northeast,
V-10334,2024-11-30,Old Mill Park,Weekend,34.8,410,1845.00,4,Northeast,
V-10335,2024-12-01,Riverside Park,Weekend,33.6,370,1665.00,,Northeast,
V-10336,2024-12-02,Hilltop Commons,Weekday,32.6,153,688.50,1,Northeast,
V-10337,2024-12-03,Cedar Grove,Weekday,33.8,101,454.50,,Northeast,
V-10338,2024-12-04,Lakeview Green,Weekday,29.4,179,805.50,,Northeast,
V-10339,2024-12-05,Old Mill Park,Weekday,34.5,76,342.00,2,Northeast,
V-10340,2024-12-06,Riverside Park,Weekday,33.9,136,612.00,2,Northeast,
V-10341,2024-12-07,Hilltop Commons,Weekend,33.6,373,1678.50,4,Northeast,
V-10342,2024-12-08,Cedar Grove,Weekend,27.6,367,1651.50,3,Northeast,
V-10343,2024-12-09,Lakeview Green,Weekday,29.1,91,409.50,1,Northeast,
V-10344,2024-12-10,Old Mill Park,Weekday,34.6,126,567.00,1,Northeast,
V-10345,2024-12-11,Riverside Park,Weekday,28.7,84,378.00,,Northeast,
V-10346,2024-12-12,Hilltop Commons,Weekday,29.1,122,549.00,,Northeast,
V-10347,2024-12-13,Cedar Grove,Weekday,22.8,111,499.50,,Northeast,
V-10348,2024-12-14,Lakeview Green,Weekend,38.4,380,1710.00,,Northeast,
V-10349,2024-12-15,Old Mill Park,Weekend,28.6,349,1570.50,4,Northeast,
V-10350,2024-12-16,Riverside Park,Weekday,33.8,202,909.00,1,Northeast,
V-10351,2024-12-17,Hilltop Commons,Weekday,30.6,151,679.50,2,Northeast,
V-10352,2024-12-18,Cedar Grove,Weekday,31.3,143,643.50,,Northeast,
V-10353,2024-12-19,Lakeview Green,Weekday,29.3,126,567.00,,Northeast,
V-10354,2024-12-20,Old Mill Park,Weekday,30.5,120,540.00,1,Northeast,
V-10355,2024-12-21,Riverside Park,Weekend,29.7,391,1759.50,6,Northeast,
V-10356,2024-12-22,Hilltop Commons,Weekend,24.6,288,1296.00,,Northeast,
V-10357,2024-12-23,Cedar Grove,Weekday,29.1,104,468.00,2,Northeast,
V-10358,2024-12-24,Lakeview Green,Weekday,28.7,162,729.00,2,Northeast,
V-10359,2024-12-25,Old Mill Park,Weekday,30.3,81,364.50,,Northeast,
V-10360,2024-12-26,Riverside Park,Weekday,36.9,217,976.50,,Northeast,
V-10361,2024-12-27,Hilltop Commons,Weekday,29.5,117,526.50,2,Northeast,
V-10362,2024-12-28,Cedar Grove,Weekend,28.3,387,1741.50,,Northeast,
V-10363,2024-12-29,Lakeview Green,Weekend,29.5,363,1633.50,,Northeast,
V-10364,2024-12-30,Old Mill Park,Weekday,31.7,131,589.50,2,Northeast,
V-10365,2024-12-31,Riverside Park,Weekday,29.9,100,450.00,2,Northeast,
V-10366,2025-01-01,Hilltop Commons,Weekday,24.1,73,328.50,1,Northeast,
V-10367,2025-01-02,Cedar Grove,Weekday,26.5,87,391.50,,Northeast,
V-10368,2025-01-03,Lakeview Green,Weekday,28.1,108,486.00,1,Northeast,
V-10369,2025-01-04,Old Mill Park,Weekend,27.1,418,1881.00,4,Northeast,
V-10370,2025-01-05,Riverside Park,Weekend,23.2,392,1764.00,5,Northeast,
V-10371,2025-01-06,Hilltop Commons,Weekday,22.5,54,243.00,1,Northeast,
V-10372,2025-01-07,Cedar Grove,Weekday,27.6,94,423.00,2,Northeast,
V-10373,2025-01-08,Lakeview Green,Weekday,22.6,91,409.50,1,Northeast,
V-10374,2025-01-09,Old Mill Park,Weekday,25.3,58,261.00,1,Northeast,
V-10375,2025-01-10,Riverside Park,Weekday,29.8,115,517.50,,Northeast,
V-10376,2025-01-11,Hilltop Commons,Weekend,32.3,423,1903.50,,Northeast,
V-10377,2025-01-12,Cedar Grove,Weekend,32.0,392,1764.00,2,Northeast,
V-10378,2025-01-13,Lakeview Green,Weekday,28.2,105,472.50,2,Northeast,
V-10379,2025-01-14,Old Mill Park,Weekday,32.5,106,477.00,1,Northeast,
V-10380,2025-01-15,Riverside Park,Weekday,20.9,119,535.50,,Northeast,
V-10381,2025-01-16,Hilltop Commons,Weekday,25.7,125,562.50,3,Northeast,
V-10382,2025-01-17,Cedar Grove,Weekday,30.5,103,463.50,,Northeast,
V-10383,2025-01-18,Lakeview Green,Weekend,30.8,479,2155.50,,Northeast,
V-10384,2025-01-19,Old Mill Park,Weekend,23.9,398,1791.00,4,Northeast,
V-10385,2025-01-20,Riverside Park,Weekday,27.2,99,445.50,,Northeast,
V-10386,2025-01-21,Hilltop Commons,Weekday,28.6,150,675.00,,Northeast,
V-10387,2025-01-22,Cedar Grove,Weekday,27.3,84,378.00,1,Northeast,
V-10388,2025-01-23,Lakeview Green,Weekday,19.8,17,76.50,1,Northeast,
V-10389,2025-01-24,Old Mill Park,Weekday,28.5,86,387.00,,Northeast,
V-10390,2025-01-25,Riverside Park,Weekend,27.6,386,1737.00,4,Northeast,
V-10391,2025-01-26,Hilltop Commons,Weekend,32.8,447,2011.50,,Northeast,
V-10392,2025-01-27,Cedar Grove,Weekday,28.8,181,814.50,1,Northeast,
V-10393,2025-01-28,Lakeview Green,Weekday,28.7,78,351.00,1,Northeast,
V-10394,2025-01-29,Old Mill Park,Weekday,24.0,84,378.00,1,Northeast,
V-10395,2025-01-30,Riverside Park,Weekday,32.0,124,558.00,,Northeast,
V-10396,2025-01-31,Hilltop Commons,Weekday,33.1,157,706.50,2,Northeast,
V-10397,2025-02-01,Cedar Grove,Weekend,32.0,385,1732.50,,Northeast,
V-10398,2025-02-02,Lakeview Green,Weekend,28.7,497,2236.50,6,Northeast,
V-10399,2025-02-03,Old Mill Park,Weekday,28.2,84,378.00,,Northeast,
V-10400,2025-02-04,Riverside Park,Weekday,25.1,105,472.50,1,Northeast,
V-10401,2025-02-05,Hilltop Commons,Weekday,31.1,151,679.50,,Northeast,
V-10402,2025-02-06,Cedar Grove,Weekday,23.5,140,630.00,1,Northeast,
V-10403,2025-02-07,Lakeview Green,Weekday,29.2,171,769.50,2,Northeast,
V-10404,2025-02-08,Old Mill Park,Weekend,27.9,424,1908.00,,Northeast,
V-10405,2025-02-09,Riverside Park,Weekend,32.2,437,1966.50,4,Northeast,
V-10406,2025-02-10,Hilltop Commons,Weekday,31.2,113,508.50,1,Northeast,
V-10407,2025-02-11,Cedar Grove,Weekday,25.4,135,607.50,1,Northeast,
V-10408,2025-02-12,Lakeview Green,Weekday,32.9,168,756.00,2,Northeast,
V-10409,2025-02-13,Old Mill Park,Weekday,27.8,124,558.00,1,Northeast,
V-10410,2025-02-14,Riverside Park,Weekday,34.0,204,918.00,,Northeast,
V-10411,2025-02-15,Hilltop Commons,Weekend,29.3,325,1462.50,,Northeast,
V-10412,2025-02-16,Cedar Grove,Weekend,30.0,403,1813.50,4,Northeast,
V-10413,2025-02-17,Lakeview Green,Weekday,30.7,150,675.00,1,Northeast,
V-10414,2025-02-18,Old Mill Park,Weekday,26.5,164,738.00,2,Northeast,
V-10415,2025-02-19,Riverside Park,Weekday,37.9,191,859.50,,Northeast,
V-10416,2025-02-20,Hilltop Commons,Weekday,31.1,201,904.50,3,Northeast,
V-10417,2025-02-21,Cedar Grove,Weekday,30.3,184,828.00,,Northeast,
V-10418,2025-02-22,Lakeview Green,Weekend,33.7,424,1908.00,5,Northeast,
V-10419,2025-02-23,Old Mill Park,Weekend,35.5,413,1858.50,6,Northeast,
V-10012,2024-01-13,Cedar Grove,Weekend,26.0,254,1143.00,2,Northeast,
V-10044,2024-02-14,Old Mill Park,Weekday,34.4,5,22.50,,Northeast,
V-10101,2024-04-11,Hilltop Commons,Weekday,52.0,170,765.00,3,Northeast,
V-10202,2024-07-21,Cedar Grove,Weekend,80.3,662,2979.00,8,Northeast,
V-10303,2024-10-30,Lakeview Green,Weekday,50.8,226,1017.00,3,Northeast,
V-10404,2025-02-08,Old Mill Park,Weekend,27.9,424,1908.00,,Northeast,
